Gear,Back,其他,11,1,1,1,1,1,1,1,1,1,1,1,1,,
Gear,Back,其他,12,1,1,1,1,1,1,1,1,1,1,1,1,,
Gear,Inner,无,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,SRAM AUTOMATIX,2,1,1.37,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,其他,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,Nexus SG-3S40,3,0.75,1,1.37,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,SRAM SPECTRO T3,3,0.73,1,1.36,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,SRAM DualDrive3,3,0.73,1,1.36,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,其他,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,SRAM SPARC,4,0.63,0.78,1,1.28,1,1,1,1,1,1,1,1,1,1
Gear,Inner,其他,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,SRAM SPECTRO P5,5,0.63,0.78,1,1.28,1.58,1,1,1,1,1,1,1,1,1
Gear,Inner,SRAM SPECTRO P5 CARGO,5,0.67,0.78,1,1.28,1.5,1,1,1,1,1,1,1,1,1
Gear,Inner,其他,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,其他,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,Nexus SG-7R46,7,0.632,0.741,0.843,0.989,1.145,1.335,1.545,1,1,1,1,1,1,1
Gear,Inner,SRAM Spectro S7,7,0.57,0.68,0.81,1,1.24,1.48,1.74,1,1,1,1,1,1,1
Gear,Inner,其他,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,Nexus SG-8R(C)31,8,0.527,0.644,0.748,0.851,1,1.223,1.419,1.615,1,1,1,1,1,1
Gear,Inner,ALFINE SG-S501,8,0.527,0.644,0.748,0.851,1,1.223,1.419,1.615,1,1,1,1,1,1
Gear,Inner,SRAM G8,8,0.609,0.71,0.803,0.903,1.054,1.204,1.355,1.581,1,1,1,1,1,1
Gear,Inner,其他,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,SRAM G9,9,0.541,0.609,0.71,0.803,0.903,1.054,1.204,1.355,1.581,1,1,1,1,1
Gear,Inner,其他,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,其他,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,ALFINE SG-S700,11,0.527,0.681,0.77,0.878,0.995,1.134,1.292,1.462,1.667,1.888,2.153,1,1,1
Gear,Inner,其他,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,其他,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,其他,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gear,Inner,Rohloff Speedhub,14,0.279,0.316,0.36,0.409,0.464,0.528,0.6,0.682,0.774,0.881,1,1.135,1.292,1.467
Gear,Inner,其他,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,
Wheel,37-298 14x1 1/4,1169,,,,,,,,,,,,,,,
Wheel,37-298 14x1 3/8,1169,,,,,,,,,,,,,,,
Wheel,37-254 14x1.35,1030,,,,,,,,,,,,,,,
Wheel,54-254 14x2.1,1137,,,,,,,,,,,,,,,
Wheel,32-349 16x1 1/4 KOJAK,1297,,,,,,,,,,,,,,,
Wheel,35-349 16x1.35 MARATHON,1316,,,,,,,,,,,,,,,
Wheel,37-340 16x1 1/2,1301,,,,,,,,,,,,,,,
Wheel,44-317 16x1 3/4,1272,,,,,,,,,,,,,,,
Wheel,37-335 16x1 3/8,1285,,,,,,,,,,,,,,,
Wheel,44-305 16x1.75,1235,,,,,,,,,,,,,,,
Wheel,44-305 16x1.75,1235,,,,,,,,,,,,,,,
Wheel,47-305 16x1.75,1272,,,,,,,,,,,,,,,
Wheel,28-355 18x1.125,1291,,,,,,,,,,,,,,,
Wheel,32-355 18x1.25 KOJAK,1316,,,,,,,,,,,,,,,
Wheel,35-355 18x1.35 MARATHON,1335,,,,,,,,,,,,,,,
Wheel,44-355 18x1.5,1392,,,,,,,,,,,,,,,
Wheel,47-355 18x1.75,1411,,,,,,,,,,,,,,,
Wheel,19-451 20x1,1536,,,,,,,,,,,,,,,
Wheel,37-438 20x1 1/2,1608,,,,,,,,,,,,,,,
Wheel,40-432 20x1 1/2,1608,,,,,,,,,,,,,,,
Wheel,32-445 20x1 1/4,1599,,,,,,,,,,,,,,,
Wheel,32-451 20x1 1/4,1618,,,,,,,,,,,,,,,
Wheel,33-451 20x1 1/4,1624,,,,,,,,,,,,,,,
Wheel,28-451 20x1 1/8,1593,,,,,,,,,,,,,,,
Wheel,28-451 20x1 1/8,1593,,,,,,,,,,,,,,,
Wheel,28-451 20x1 1/8,1593,,,,,,,,,,,,,,,
Wheel,28-406 20x1.1 DURANO,1451,,,,,,,,,,,,,,,
Wheel,35-406 20x1.35 KOJAK,1495,,,,,,,,,,,,,,,
Wheel,35-406 20x1.35 MARATHON,1495,,,,,,,,,,,,,,,
Wheel,44-406 20x1.5,1552,,,,,,,,,,,,,,,
Wheel,47-406 20x1.75 MARATHON,1571,,,,,,,,,,,,,,,
Wheel,50-406 20x2.0 BIG APPLE,1590,,,,,,,,,,,,,,,
Wheel,54-406 20x2.0,1615,,,,,,,,,,,,,,,
Wheel,23-451 21x1.0,1272,,,,,,,,,,,,,,,
Wheel,25-451 21x1.1,1272,,,,,,,,,,,,,,,
Wheel,28-451 21x1.125,1272,,,,,,,,,,,,,,,
Wheel,32-451 21x1.25,1272,,,,,,,,,,,,,,,
Wheel,37-451 21x1.35,1272,,,,,,,,,,,,,,,
Wheel,37-540 24x1 3/8,1948,,,,,,,,,,,,,,,
Wheel,47-507 24x1.75,1900,,,,,,,,,,,,,,,
Wheel,37-584 26x1 3/8 650STD,2086,,,,,,,,,,,,,,,
Wheel,37-590 26x1 3/8 650x35A,2100,,,,,,,,,,,,,,,
Wheel,28-559 26x1.10 DURANO,1932,,,,,,,,,,,,,,,
Wheel,35-559 26x1.35 MARATHON,1976,,,,,,,,,,,,,,,
Wheel,40-559 26x1.50 MARATHON,2007,,,,,,,,,,,,,,,
Wheel,42-559 26x1.60,2025,,,,,,,,,,,,,,,
Wheel,47-559 26x1.75 MARATHON,2051,,,,,,,,,,,,,,,
Wheel,50-559 26x2.00,2075,,,,,,,,,,,,,,,
Wheel,54-559 26x2.10,2100,,,,,,,,,,,,,,,
Wheel,57-559 26x2.25,2120,,,,,,,,,,,,,,,
Wheel,57-584 27 1/2x2.25,2128,,,,,,,,,,,,,,,
Wheel,28-630 27x1 1/4,2174,,,,,,,,,,,,,,,
Wheel,32-630 27x1 1/4,2220,,,,,,,,,,,,,,,
Wheel,40-635 28x1 1/2,2265,,,,,,,,,,,,,,,
Wheel,32-622 28x1.25 700x32C,2170,,,,,,,,,,,,,,,
Wheel,35-622 28x1.35 700x35C,2185,,,,,,,,,,,,,,,
Wheel,37-622 28x1.40 700x35C,2200,,,,,,,,,,,,,,,
Wheel,37-622 28x1.40 700x37C,2200,,,,,,,,,,,,,,,
Wheel,40-622 28x1.50 700x38C,2220,,,,,,,,,,,,,,,
Wheel,42-622 28x1.60 700x40C,2230,,,,,,,,,,,,,,,
Wheel,47-622 28x1.75 MARATHON,2249,,,,,,,,,,,,,,,
Wheel,50-622 29x2.00,2280,,,,,,,,,,,,,,,
Wheel,54-622 29x2.10,2295,,,,,,,,,,,,,,,
Wheel,57-622 29x2.25,2288,,,,,,,,,,,,,,,
Wheel,60-622 29x2.35,2330,,,,,,,,,,,,,,,
Wheel,23-571 650x23C,1973,,,,,,,,,,,,,,,
Wheel,18-622 700x18C,2102,,,,,,,,,,,,,,,
Wheel,20-622 700x20C,2100,,,,,,,,,,,,,,,
Wheel,23-622 700x23C,2125,,,,,,,,,,,,,,,
Wheel,25-622 700x25C,2135,,,,,,,,,,,,,,,
Wheel,28-622 700x28C,2150,,,,,,,,,,,,,,,
Hub,其他,60,60,28,28,2.5,,,,,,,,,,,
Hub,AC APX Front 100,42.5,42.5,36,36,2.6,,,,,,,,,,,
Hub,AC APX Rear 135,48,48,35,20,2.6,,,,,,,,,,,
Hub,ACCESS 4培林 Rear 130,49,49,35,19,2.6,,,,,,,,,,,
Hub,American Classic HD-140 disc Front 100,56.5,56.5,23,36,2.6,,,,,,,,,,,
Hub,American Classic HD-240 Ultra-Light 135mm Disk Rear 135,66.2,66.2,29,19,2.6,,,,,,,,,,,
Hub,American Classic HH-120 suspension Front 100,47,47,36,36,2.6,,,,,,,,,,,
Hub,American Classic Micro newer wider version Front 100,30,30,33.5,33.5,2.6,,,,,,,,,,,
Hub,American Classic Rear 126,42,42,38.5,18.5,2.4,,,,,,,,,,,
Hub,American Classic Rear 130,42,42,36.5,20.5,2.4,,,,,,,,,,,
Hub,American Classic Rear 130,42,42,41,16,2.4,,,,,,,,,,,
Hub,American Classic Rear 135,42,42,34,23,2.4,,,,,,,,,,,
Hub,American Classic Rear 135,42,42,39,18,2.4,,,,,,,,,,,
Hub,American Classic Rear 140,42,42,36.5,20.5,2.4,,,,,,,,,,,
Hub,American Classic Speedster older narrow version Front 100,30,30,25,25,2.4,,,,,,,,,,,
Hub,American Classic Suspension small flange Front 100,47,47,36,36,2.4,,,,,,,,,,,
Hub,American Classic track Front 100,42,42,34.5,34.5,2.6,,,,,,,,,,,
Hub,American Classic track Rear 121,42,42,30.5,30.5,2.6,,,,,,,,,,,
Hub,American Classic Ultra-Light 130mm Rear 130,66.2,66.2,31,17,2.4,,,,,,,,,,,
Hub,American Classic Ultra-Light 135mm Rear 135,66.2,66.2,29,19,2.4,,,,,,,,,,,
Hub,American Classic Ultra-Light CHECK DIAMETER! Rear 135,42,42,29,19,2.4,,,,,,,,,,,
Hub,Ariel Rear 135,45,45,35,20,2.6,,,,,,,,,,,
Hub,ASSESS(RIMNETE)4培林公路花鼓 Rear 130,49,49,35,19,2.6,,,,,,,,,,,
